"id","min_color","med_color","max_color","r_color"
"01062","#42737B","#52828C","#7AAEB9","cadetblue4"
"01064","#2E6579","#41748A","#599CB8","skyblue4"
"01066","#1E4455","#264C5F","#365D73","darkslategray"
"01068","#163542","#233E4D","#2C5264","darkslategray"
"00847","#909D8C","#B6C9B7","#E4F3EB","gray72"
"00274","#869C95","#95ABA5","#B9D4CF","gray65"
"00848","#697975","#778784","#A8BDB9","lightcyan4"
"00849","#4D6364","#5F7374","#839B9C","gray45"
"00850","#3E5458","#475E62","#6C8287","gray37"
"00779","#274A52","#3A6772","#FFFFFF","steelblue4"
"00851","#172830","#21333B","#FFFFFF","gray20"
"01092","#6CAEA3","#8BC9C0","#AEE3E0","paleturquoise3"
"00185","#469485","#54A293","#66B9A9","cadetblue"
"00186","#2E8176","#3B8D81","#58AD9F","aquamarine4"
"00187","#23655C","#30746B","#439588","seagreen"
"00188","#1C4E48","#24564F","#306C64","darkslategray"
"00189","#16413C","#25504A","#326761","darkslategray"
"01070","#397F6A","#4A947E","#62B49A","aquamarine4"
"01072","#327662","#3C8069","#519C83","aquamarine4"
"01074","#245E52","#306A5C","#498476","seagreen"
"01076","#1E4E43","#2A5E52","#3D7D70","darkslategray"
"01042","#86AB7F","#96B78B","#AED3A7","darkseagreen"
"00875","#477B5E","#609878","#7FBD99","darkseagreen4"
"00876","#2E5B45","#43735A","#5F9B79","palegreen4"
"00877","#254D3C","#2F5643","#3F7059","darkslategray"
"00878","#1F382A","#254131","#355342","gray19"
"00879","#182A20","#1D3027","#253C31","gray15"
"00213","#8DA77F","#9EB98E","#BFDEB3","darkseagreen"
"00214","#647F5A","#7E9C71","#AAC89B","lemonchiffon4"
"00215","#4D6B4B","#678765","#89B286","darkseagreen4"
"00216","#345E46","#436B52","#5B8C6C","gray32"
"00217","#254735","#2F513F","#426A54","darkslategray"
"00218","#1B2F25","#24382E","#365144","gray18"
"00683","#1E2826","#242C2A","#333D3B","gray16"
"00858","#717654","#979D79","#BFC99E","lightyellow4"
"00859","#5F6949","#78825C","#A4B183","navajowhite4"
"00860","#4B5941","#58644B","#707E63","gray34"
"00861","#343D29","#3E4733","#5E6A4E","gray24"
"00862","#242920","#2B3027","#484D41","gray17"
"00259","#B5CB6B","#C2D37A","#E0ED9D","khaki3"
"00260","#869C4A","#9BB35E","#FFFFFF","darkolivegreen3"
"00261","#43753D","#5D954F","#7DB46E","palegreen4"
"00262","#2E4226","#384B2F","#4E6A42","gray22"
"00263","#212F1C","#2A3625","#FFFFFF","gray16"
"00206","#6C9F74","#8EC293","#ABE0B0","darkseagreen"
"00208","#3F7653","#4D845F","#66A579","palegreen4"
"00210","#295238","#325B41","#487757","darkslategray"
"00211","#224731","#2B523B","#38634B","darkslategray"
"00212","#1D372B","#253E33","#395A4C","gray20"
"00203","#4E8B61","#6AA979","#85C893","darkseagreen4"
"00204","#418258","#599C6F","#7CC392","darkseagreen4"
"00209","#396E49","#498057","#64A174","palegreen4"
"00205","#316F4C","#3D7D57","#549169","seagreen"
"00230","#1E492F","#255037","#2A6244","darkslategray"
"01043","#8CB96A","#9DC77B","#BBDF98","darkseagreen3"
"00240","#629349","#7AAC5E","#9ED57C","darkseagreen4"
"00241","#4B883E","#63A453","#89CA70","palegreen4"
"00242","#3F7E3E","#4B8B4A","#63AA5F","palegreen4"
"00243","#346C37","#417A3F","#54934F","darkolivegreen"
"00244","#25582B","#2D6132","#437D47","darkslategray"
"00246","#1B351E","#213A24","#2B4F30","gray14"
"01044","#1B2B1B","#233423","#2E442F","gray14"
"00225","#327736","#469047","#65B262","palegreen4"
"00226","#2F6E35","#3E783D","#4A974A","darkolivegreen"
"00227","#1D5728","#276333","#38753F","darkslategray"
"00228","#184823","#20552D","#33673C","gray18"
"00923","#183A22","#1E4328","#295435","gray16"
"00229","#1B4522","#204F2B","#34683D","gray17"
"00238","#38772F","#4D8F39","#62A74B","palegreen4"
"00239","#326E2B","#3B7833","#519444","darkolivegreen"
"00245","#224C25","#29542B","#386D3A","gray17"
"00264","#899D55","#9EAF67","#C0D881","darkkhaki"
"00266","#586E2E","#677B3B","#88A049","darkolivegreen4"
"00265","#74873B","#97AA56","#FFFFFF","darkolivegreen3"
"00267","#415120","#54622C","#6F7E42","darkolivegreen"
"00268","#333D21","#3D482A","#53603C","gray24"
"00269","#2F3120","#383826","#FFFFFF","gray22"
"00886","#C89A59","#E1B872","#FADE95","burlywood"
"00945","#9F8F33","#AD9F3E","#CABB4E","peru"
"00887","#C29348","#D1A657","#E9BB65","burlywood3"
"00888","#8F6730","#A2783C","#BF9352","lightgoldenrod4"
"00831","#613F25","#6B482C","#855C3D","sienna4"
"00874","#AA875F","#CFAA7F","#F9DCAA","burlywood3"
"00907","#796043","#937855","#C0A277","burlywood4"
"00906","#6A5338","#776041","#92785A","lightsalmon4"
"00253","#C99132","#D6A043","#F0C157","tan2"
"00254","#9B7821","#AB892B","#C7A335","darkgoldenrod"
"00255","#5C431F","#674C25","#7D5F35","sienna4"
"00256","#432F1D","#4F3925","#6D5239","gray22"
"00257","#96BB3C","#A9D24D","#C2E361","darkolivegreen3"
"00279","#87A733","#95B43D","#AFD249","olivedrab3"
"00278","#527C28","#628C30","#7AAA3C","olivedrab4"
"00277","#3F6626","#4D732C","#618D35","darkolivegreen"
"00258","#365F27","#436D2F","#5E8943","darkolivegreen"
"00898","#2F5624","#3D662F","#568442","darkolivegreen"
"00889","#CCC02D","#DCD53E","#F9F355","olivedrab1"
"00832","#A7A122","#B2AE2B","#CECD35","goldenrod"
"00280","#978829","#A89B32","#C2B446","goldenrod3"
"00281","#545A1F","#5E6429","#7C8337","darkolivegreen"
"00924","#464F21","#4E5629","#656F37","darkolivegreen"
"00842","#A4A95E","#BBC271","#E3ED98","darkkhaki"
"00843","#6C7839","#8B9752","#B5C46F","khaki4"
"00844","#5C5E2A","#696B35","#8C914A","darkolivegreen"
"00845","#53502A","#605D33","#898650","darkolivegreen"
"00846","#2F311E","#353725","#5F5B4C","gray21"
"00681","#534631","#5D5039","#79684E","gray31"
"00852","#CDB074","#E3CD8C","#FFFFFF","burlywood2"
"00853","#A28F57","#BFAA70","#E3D28C","darkkhaki"
"00854","#966F39","#9E8956","#C4AD70","khaki4"
"00855","#8C6736","#9A7845","#C49A61","lightgoldenrod4"
"00856","#675431","#77643B","#FFFFFF","lightsalmon4"
"00001","#E6EBE8","#F5F8F8","#FCFEFE","gray97"
"00926","#E7ECE7","#F1F3F1","#FAFCFB","gray95"
"00390","#E5E0C4","#F0EED5","#FDFCEA","lightyellow2"
"00391","#DECFA4","#E9DDB9","#FCF5D3","bisque2"
"00393","#AC936F","#C9B086","#EDD8AB","navajowhite3"
"00830","#C2AF8C","#DCCEA8","#FCF6D0","lemonchiffon3"
"00899","#A99771","#CCBD93","#F7EFC4","wheat3"
"00903","#76664E","#85765C","#A99A7C","navajowhite4"
"00904","#564C3C","#665B4A","#857B64","gray36"
"00905","#E0C58B","#ECD69A","#F8ECB6","navajowhite2"
"01050","#B89E58","#CAB169","#E9CF80","darkkhaki"
"00885","#B7976D","#DBBB90","#F9E3B5","burlywood"
"00956","#907861","#B59D81","#E2CAAA","rosybrown"
"00392","#64533B","#74644A","#988563","gray39"
"00387","#47392A","#504233","#6A5B46","gray26"
"00388","#2F251F","#342B24","#473D32","gray17"
"00002","#512F25","#5B382C","#7A4D3C","gray22"
"00900","#8E9382","#BCC2AD","#E8F4E2","antiquewhite3"
"01040","#686D5E","#828776","#AAB19D","cornsilk4"
"08581","#645F4C","#6F6A57","#9C997F","dimgray"
"00273","#3D3831","#454139","#5E5C4F","gray25"
"01041","#31302A","#373631","#4B4B44","gray21"
"00231","#958781","#ACA099","#CEC6BE","gray63"
"00232","#776E6B","#A29995","#C9C2BE","gray60"
"00233","#5D5658","#736C6E","#A7A0A1","gray43"
"00234","#9FA6A1","#ADB7B5","#D4E0DF","gray71"
"00235","#51585F","#616970","#828C96","dimgray"
"00236","#2A2F33","#31363A","#40474C","gray21"
"00397","#9FA39B","#B5BBB4","#D0D9D4","gray71"
"00398","#7F8283","#A3A9AA","#FFFFFF","darkgray"
"00399","#55575F","#757D7E","#A8B3B4","gray49"
"00400","#3B3D43","#46484E","#65676F","gray28"
"00401","#292B30","#303236","#3B3D43","gray20"
"00403","#040502","#070705","#FFFFFF","gray2"
